"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"Papilio machaon"	38	134.539928426743	256.705829500597	19.6681748471652	1	-6.21134914770511	0.005	199
"Synemon plana"	2	20.82455	249.40454839196	83.3762305082568	2	-2.74154872436124	0.01	199
"Amphipyra pyramidea"	9	212.409604944444	260.824827668342	42.9343468607562	2	-1.12765713848906	0.01	199
"Philodoria splendida"	2	27.6472	259.235441336683	96.8700696934191	2	-2.39070996923641	0.01	199
"Acanthopteroctetes unifascia"	2	8.92874	271.709514874372	123.819413243758	1	-2.12229058424827	0.005	199
"Plutella xylostella"	22	206.186826121212	258.054990569384	25.2588733323497	1	-2.05346310445853	0.005	199
"Mania lunus"	2	237.15826	250.171364643216	91.5323518225084	53	-0.142169455761936	0.265	199
"Podosesia syringae"	6	105.906792666667	262.560265955444	52.3948302865001	1	-2.98986507699673	0.005	199
"Leucoptera coffeella"	2	6.0147	252.491532939698	80.9520721591876	1	-3.04472543278467	0.005	199
"Epicopeia hainesii"	2	95.4208	254.420536909548	91.520050868241	7	-1.73732133451778	0.035	199
"Striacosta albicosta"	5	214.0208232	266.190895768844	64.9132467082835	12	-0.803689157673682	0.06	199
"Hebomoia glaucippe"	4	77.5267831666667	252.444579103015	50.121097981039	1	-3.48990351333725	0.005	199
"Amyelois transitella"	33	231.881996409091	257.963323336112	20.7203733431243	6	-1.25872861917694	0.03	199
"Lantanophaga pusillidactyla"	4	196.265166833333	261.442515055276	64.1580976555814	3	-1.01588654594831	0.015	199
"Papilio glaucus"	29	233.74009173399	259.314454416194	21.8765563629759	14	-1.16903054840416	0.07	199
"Agrotis infusa"	9	330.604929888889	262.528449811558	45.0925609313509	172	1.50970534099784	0.86	199
"Hemiargus ceraunus"	15	130.985642704762	259.426218535152	33.5900480976072	1	-3.82376873820373	0.005	199
"Tegeticula yuccasella"	2	4.35456	252.614522005025	90.8846163967627	1	-2.73159498106071	0.005	199
"Danaus plexippus"	18	127.141157594771	255.885786384833	27.2318535949108	1	-4.72772183286567	0.005	199
"Biston betularia"	55	282.031975360269	260.882320941421	16.9813054949143	171	1.24546692980599	0.855	199
"Ascia monuste"	17	127.977503808824	252.08677125606	27.2253563305927	1	-4.55859111411432	0.005	199
"Helicopsyche borealis"	0	NA	NA	NA	NA	NA	NA	199
"Morpheis pyracmon"	5	203.874892	267.033142392965	62.3037214083013	2	-1.01371553681462	0.01	199
"Manoba major"	2	52.704	277.497723050251	118.457424619229	2	-1.89767525144863	0.01	199
"Mythimna separata"	3	63.0236766666667	261.087322539363	85.9418096147486	1	-2.30462503361934	0.005	199
"Mustilizans dierli"	2	222.297188	253.111776316583	97.8759993537288	33	-0.314832936777661	0.165	199
"Bembecia ichneumoniformis"	4	79.4632895	254.610875518425	58.1845119167107	1	-3.01020976628873	0.005	199
"Lyssa zampa"	2	237.158199	251.391047201005	88.2041146727032	59	-0.161362633181212	0.295	199
"Tineola bisselliella"	0	NA	NA	NA	NA	NA	NA	199
"Tuta absoluta"	2	22.3962	257.488984984925	95.1675831500257	1	-2.47030319782647	0.005	199
"Bucculatrix cristatella"	4	17.6936355	270.004887813233	74.8385185815957	1	-3.37140896286102	0.005	199
"Dalcera abrasa"	10	242.790547688889	255.283644423674	35.7648181665194	103	-0.349312463343662	0.515	199
"Emmelina monodactyla"	13	200.068493102564	257.297963129622	31.8478996004022	1	-1.79696214648754	0.005	199
"Ectropis obliqua"	16	236.701746358333	258.469329961516	29.3573505047056	32	-0.741469622733614	0.16	199
"Luehdorfia chinensis"	2	11.91972	253.967506361809	95.6418476281197	1	-2.53077279835657	0.005	199
"Tridrepana flava"	2	11.2713	255.400636939699	78.2637764418231	1	-3.11931455443082	0.005	199
"Hyposmocoma kahamanoa"	0	NA	NA	NA	NA	NA	NA	199
"Lacosoma chiridota"	2	23.5534	248.99564778392	69.4636357085011	2	-3.24547146840932	0.01	199
"Catoptria falsella"	0	NA	NA	NA	NA	NA	NA	199
"Stigmella atricapitella"	2	23.5534	248.99564778392	69.4636357085011	2	-3.24547146840932	0.01	199
"Hemileuca maia"	15	220.601894857143	261.564012261402	36.6033064007236	1	-1.11908243905118	0.005	199
"Operophtera brumata"	31	266.060621544086	259.978799160469	22.1381652460134	131	0.274721157604162	0.655	199
"Coptotriche citrinipennella"	0	NA	NA	NA	NA	NA	NA	199
"Enyo lugubris"	7	201.140069714286	260.256289029911	47.7120110400772	2	-1.23902174791939	0.01	199
