"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Calycopis cecrops"	7	138.238391857143	203.192460807609	40.1161343147595	12	-1.61915074969147	0.06	199
"Demonarosa rufotessellata"	5	130.61608	215.757463681407	47.1928537388161	5	-1.80411602469758	0.025	199
"Dyseriocrania subpurpurella"	2	23.5534	268.12656580402	108.642492653161	1	-2.25117410169163	0.005	199
"Calledapteryx dryopterata"	2	35.0478	262.659074065327	94.7169952961245	1	-2.40306687679143	0.005	199
"Smerinthus saliceti"	2	76.07721	256.123337537688	82.0093227012921	2	-2.19543487992801	0.01	199
"Axia margarita"	2	35.9462	263.121064758794	104.788848506473	2	-2.16792977493938	0.01	199
"Saturnia pyri"	21	103.730594619048	154.879304020101	22.9356604996616	3	-2.23009533132074	0.015	199
"Pseudothyatira cymatophoroides"	14	107.466044285714	174.274429657215	26.8205949025377	3	-2.49093599952845	0.015	199
"Attacus atlas"	103	87.4268977378641	92.3662605319315	7.27802859151601	52	-0.678667682045826	0.26	199
"Actias luna"	27	130.815719666667	142.733205922204	19.2564243285767	53	-0.618883654212547	0.265	199
"Antaeotricha schlaegeri"	2	195.759203	255.874057718593	109.63111895096	24	-0.548337509402629	0.12	199
"Pararge aegeria"	11	31.5004852727273	181.940307453632	31.0314453657578	1	-4.84797986067738	0.005	199
"Bicyclus anynana"	2	187.642918	248.383114452261	94.651068337063	26	-0.641727531652984	0.13	199
"Pseudothyris sepulchralis"	2	81.11	250.836082155779	81.4628615661084	7	-2.08347802781324	0.035	199
"Polygonia c-album"	14	146.316215642857	171.190507933956	28.7300100107857	39	-0.865794765882787	0.195	199
"Heliothis virescens"	50	82.73175444	115.698081956583	11.7125851004045	1	-2.81460729924126	0.005	199
"Phaecasiophora niveiguttana"	3	253.816095666667	231.836804118928	50.6747408052063	156	0.433732688090642	0.78	199
"Cameraria ohridella"	2	18.19314	256.287545015075	83.1385240290814	2	-2.86382766347634	0.01	199
"Spodoptera frugiperda"	89	74.4111215280899	96.6287235767602	7.45379139529478	1	-2.98071154267816	0.005	199
"Cnaphalocrocis medinalis"	14	78.8458396428571	174.703843924982	30.4575619116444	1	-3.14726453024058	0.005	199
"Agathiphaga queenslandensis"	2	10.45378	251.196875321608	93.2496266760261	1	-2.58170572798123	0.005	199
"Plodia interpunctella"	47	101.877358106383	119.207424387576	13.50103284046	27	-1.28361040862432	0.135	199
"Vitacea polistiformis"	2	81.11	250.836082155779	81.4628615661084	7	-2.08347802781324	0.035	199
"Micropterix calthella"	0	NA	NA	NA	NA	NA	NA	199
"Hemerophila diva"	2	23.8448	263.774005592965	110.555972520421	2	-2.17020573491538	0.01	199
"Galleria mellonella"	0	NA	NA	NA	NA	NA	NA	199
"Heliconius melpomene"	2	42.893	256.259384432161	94.8247475069628	3	-2.25011286654355	0.015	199
"Maniola jurtina"	7	31.3824007142857	202.27513358794	41.3897876803865	1	-4.12886227378826	0.005	199
