Colias croceus,5,Colias,croceus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Colias&with&Species=croceus
Hebomoia glaucippe,30,Hebomoia,glaucippe,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hebomoia&with&Species=glaucippe
Phoebis sennae,35,Phoebis,sennae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phoebis&with&Species=sennae
Plutella xylostella,113,Plutella,xylostella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Plutella&with&Species=xylostella
Tegeticula yuccasella,26,Tegeticula,yuccasella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Tegeticula&with&Species=yuccasella
Thyridopteryx ephemeraeformis,187,Thyridopteryx,ephemeraeformis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Thyridopteryx&with&Species=ephemeraeformis
Emmelina monodactyla,32,Emmelina,monodactyla,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Emmelina&with&Species=monodactyla
Lantanophaga pusillidactyla,31,Lantanophaga,pusillidactyla,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Lantanophaga&with&Species=pusillidactyla
Pterophorus pentadactyla,4,Pterophorus,pentadactyla,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pterophorus&with&Species=pentadactyla
Amyelois transitella,87,Amyelois,transitella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Amyelois&with&Species=transitella
Galleria mellonella,8,Galleria,mellonella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Galleria&with&Species=mellonella
Plodia interpunctella,120,Plodia,interpunctella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Plodia&with&Species=interpunctella
Actias luna,146,Actias,luna,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Actias&with&Species=luna
Attacus atlas,203,Attacus,atlas,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Attacus&with&Species=atlas
Hemileuca maia,93,Hemileuca,maia,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hemileuca&with&Species=maia
Saturnia pyri,31,Saturnia,pyri,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Saturnia&with&Species=pyri
Therinia lactucina,0,Therinia,lactucina,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Therinia&with&Species=lactucina
Mania lunus,0,Mania,lunus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Mania&with&Species=lunus
Bembecia ichneumoniformis,7,Bembecia,ichneumoniformis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Bembecia&with&Species=ichneumoniformis
Podosesia syringae,28,Podosesia,syringae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Podosesia&with&Species=syringae
Vitacea polistiformis,6,Vitacea,polistiformis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Vitacea&with&Species=polistiformis
Darapsa myron,16,Darapsa,myron,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Darapsa&with&Species=myron
Enyo lugubris,17,Enyo,lugubris,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Enyo&with&Species=lugubris
Hemaris diffinis,36,Hemaris,diffinis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hemaris&with&Species=diffinis
Hyles euphorbiae,16,Hyles,euphorbiae,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Hyles&with&Species=euphorbiae
Macroglossum pyrrhosticta,2,Macroglossum,pyrrhosticta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Macroglossum&with&Species=pyrrhosticta
Manduca sexta,125,Manduca,sexta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Manduca&with&Species=sexta
Parum colligata,2,Parum,colligata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Parum&with&Species=colligata
Smerinthus saliceti,3,Smerinthus,saliceti,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Smerinthus&with&Species=saliceti
Sphinx pinastri,12,Sphinx,pinastri,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Sphinx&with&Species=pinastri
Xylophanes tersa,44,Xylophanes,tersa,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Xylophanes&with&Species=tersa
Pseudothyris sepulchralis,0,Pseudothyris,sepulchralis,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Pseudothyris&with&Species=sepulchralis
Striglina suzukii,0,Striglina,suzukii,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Striglina&with&Species=suzukii
Tineola bisselliella,11,Tineola,bisselliella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Tineola&with&Species=bisselliella
Coptotriche citrinipennella,0,Coptotriche,citrinipennella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Coptotriche&with&Species=citrinipennella
Cydia pomonella,70,Cydia,pomonella,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Cydia&with&Species=pomonella
Grapholita dimorpha,7,Grapholita,dimorpha,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Grapholita&with&Species=dimorpha
Phaecasiophora niveiguttana,7,Phaecasiophora,niveiguttana,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Phaecasiophora&with&Species=niveiguttana
Calledapteryx dryopterata,3,Calledapteryx,dryopterata,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Calledapteryx&with&Species=dryopterata
Lyssa zampa,6,Lyssa,zampa,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Lyssa&with&Species=zampa
Yponomeuta evonymellus,0,Yponomeuta,evonymellus,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Yponomeuta&with&Species=evonymellus
Zygaena fausta,0,Zygaena,fausta,https://www.nhm.ac.uk/our-science/data/hostplants/search/list.dsml?Genus=Zygaena&with&Species=fausta
